Longitude,Latitude,osm_id,source,capacitype,operatorty,building,amenity,addrcity,addrfull,name
44.4415315,40.0628832,8618254918,,,,,school,Մասիս,,CoderX ծրագրավորման
44.4886605,40.2008992,8697285118,,,,,kindergarten,,,
44.4665237,40.1706067,8720489783,,,,,kindergarten,,,Մանկապարտեզ թիվ 81
44.5121334,40.1757008,8752534017,,,,,school,,,
44.5151488,40.2091669,8930409735,,,,,school,,,School No 82
44.51602,40.2091111,8930409744,,,,,school,,,Yerevan special school № 14 named after Nikoghayos Tigranyan for Children With Visual Impairments
44.5023611,40.1573131,9180404215,,,,,college,,,Ереванский государственный художественный колледж имени Фаноса Терлемезяна
44.5255741,40.1811408,9190602693,,,,,university,,,ԵՊՀ ֆիզիկայի ֆակուլտետ
44.5260657,40.1811644,9190602694,,,,,university,,,ԵՊՀ մաթեմատիկայի և մեխանիկայի ֆակուլտետ
44.5263985,40.1811597,9190602695,,,,,university,,,ԵՊՀ ինֆորմատիկայի և կիրառական մաթեմատիկայի ֆակուլտետ
44.5262143,40.1818177,9190602696,,,,,university,,,Երեւանի Պետական ​​Համալսարան
44.5263639,40.1824288,9190602697,,,,,university,,,ԵՊՀ միջազգային հարաբերությունների ֆակուլտետ
44.5259695,40.1823947,9190602698,,,,,university,,,ԵՊՀ դեղագործության և քիմիայի ֆակուլտետ
44.6408699,40.275148,9258086517,,,,,college,,,Աբովյանի պետական էներգետիկական քոլեջ
44.4368072,40.1411709,9260680759,,,,,school,,,Երեւանի Հովհաննես Շիրազի անվան թիվ 169 հիմնական դպրոց
